,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Trend_lag_1,Trend_lag_2,Trend_lag_24,Trend_lag_168,Trend_lag_336,Trend_lag_504,Trend_lag_672,Pred,Actual
5109,0,0,8,11,2023,4,52.46268441280663,52.27116780908997,51.565515321784304,56.49697685473438,59.4377872619296,63.03777882146721,65.16611061964676,53.0,52.63913830708202
5110,0,0,9,11,2023,4,52.63913830708202,52.46268441280663,51.11740109383201,56.28142612709763,58.97733395378146,62.7616765660304,64.99257532050285,52.0,52.78840924628642
5111,0,0,10,11,2023,4,52.78840924628642,52.63913830708202,50.74923450896802,56.08789040859076,58.46081301629802,62.44205317570284,64.7535914470747,52.0,52.90214364141543
5112,0,0,11,11,2023,4,52.90214364141543,52.78840924628642,50.46302341055773,55.91364995296504,57.91214290425005,62.10858924785232,64.4769932675898,51.0,52.97977993758674
5113,0,0,12,11,2023,4,52.97977993758674,52.90214364141543,50.25908427938006,55.75055721619356,57.350057435951385,61.78885299467788,64.18979103204492,51.0,53.015005591383016
5114,0,0,13,11,2023,4,53.015005591383016,52.97977993758674,50.150650578432376,55.58145183235728,56.80257899408405,61.50423717268456,63.91918179947233,50.0,53.01147428555429
5115,0,0,14,11,2023,4,53.01147428555429,53.015005591383016,50.13366560818577,55.389565751852544,56.28372520422422,61.24984153337447,63.68099573538567,50.0,52.98133742569647
5116,0,0,15,11,2023,4,52.98133742569647,53.01147428555429,50.17718294994712,55.1766316700916,55.78242939029433,61.00121925132989,63.45362984922547,50.0,52.93199628877349
5117,0,0,16,11,2023,4,52.93199628877349,52.98133742569647,50.259352816380265,54.932967047873404,55.264629542891214,60.71895277383116,63.20102161426272,49.0,52.88230848568183
5118,0,0,17,11,2023,4,52.88230848568183,52.93199628877349,50.361357592943705,54.63980640666779,54.7084465924735,60.347621297637154,62.89325469305431,49.0,52.84081206578431
5119,0,0,18,11,2023,4,52.84081206578431,52.88230848568183,50.46833030735139,54.283983782919314,54.09119050529096,59.85961230201183,62.50688218871901,48.0,52.8082712988868
